user_id,skill_id,correct,time
U212240,K538457,1,1553356800
U204267,K538457,1,1553356800
U201686,K538457,1,1553356800
U219035,K538457,0,1553356800
U208771,K538457,0,1553356800
U208771,K538395,1,1553356800
U174121,K538123,1,1553356800
U228833,K538457,1,1553356800
U174731,K538457,1,1553356800
U207804,K538457,0,1553356800
U198930,K538457,1,1553356800
U180952,K538279,1,1553356800
U167792,K538279,1,1553356800
U212458,K538279,1,1553356800
U176898,K538384,0,1553356800
U228833,K538423,0,1553356800
U155731,K538423,0,1553356800
U228833,K538491,0,1553356800
U216880,K538436,1,1553356800
U201686,K538436,1,1553356800
U205303,K538436,1,1553356800
U225816,K538370,1,1553356800
U223924,K538436,1,1553356800
U181885,K538057,1,1553356800
U207804,K538216,1,1553356800
U174731,K538216,1,1553356800
U160266,K538216,1,1553356800
U228833,K538216,0,1553356800
U205303,K538457,1,1553356800
U152968,K538279,1,1553356800
U156526,K538457,1,1553356800
U222663,K538457,1,1553356800
U153614,K538123,0,1553356800
U159720,K538057,1,1553356800
U159720,K538425,1,1553356800
U153614,K538057,0,1553356800
U153614,K538425,0,1553356800
U166930,K538057,1,1553356800
U174347,K538057,1,1553356800
U228514,K538082,0,1553356800
U228514,K538384,0,1553356800
U220128,K538057,1,1553356800
U193576,K538057,1,1553356800
U208771,K538457,1,1553356800
U172290,K538279,1,1553356800
U159720,K538436,1,1553356800
U167974,K538279,1,1553356800
U155731,K538491,0,1553356800
U210669,K538270,1,1553356800
U170827,K538270,1,1553356800
U167792,K538270,1,1553356800
U208555,K538270,1,1553356800
U187155,K538270,0,1553356800
U212458,K538270,1,1553356800
U198440,K538492,1,1553356800
U185468,K538279,1,1553356800
U163167,K538436,1,1553356800
U168827,K538370,1,1553356800
U169594,K538370,1,1553356800
U212240,K538436,1,1553356800
U157904,K538370,1,1553356800
U167738,K538279,1,1553356800
U224665,K538279,0,1553356800
U158590,K538279,1,1553356800
U222937,K538370,1,1553356800
U204239,K538279,1,1553356800
U168884,K538279,1,1553356800
U220479,K538057,1,1553356800
U207256,K538279,1,1553356800
U167728,K538279,1,1553356800
U224649,K538370,0,1553356800
U168279,K538370,1,1553356800
U205691,K538279,1,1553356800
U218677,K538395,1,1553443200
U208069,K538395,1,1553443200
U189666,K538395,1,1553443200
U224161,K538395,1,1553443200
U168827,K538395,1,1553443200
U228833,K538395,1,1553443200
U211614,K538395,1,1553443200
U228798,K538395,0,1553443200
U220660,K538457,1,1553443200
U207804,K538328,0,1553443200
U180521,K538457,1,1553443200
U180521,K538279,1,1553443200
U183906,K538457,1,1553443200
U183906,K538279,1,1553443200
U189844,K538457,1,1553443200
U189844,K538279,1,1553443200
U159666,K538457,1,1553443200
U159666,K538279,1,1553443200
U189304,K538224,1,1553443200
